TITULO;IMAGEN;IDIOMA;AUTOR;ISBN;VALOR  NETO;GENERO;TIPO;PESO;MEDIDA;STOCK
ESCUELA Y MEMORIA EN RAPA NUI 1968-1988 (Tomo 2);;ESP;KON-TURI ATAN ;;25000;HISTORIA, ANTROPOLOGIA;ENSAYO;1.3;29X22;0
EXPEDICIONES A RAPA NUI, 1791-1892 (Tomo 2);;ESP;ROLF FORSTER / SEBASTIÁN LORENZO;978-956-9337-22-2;18000;HISTORIA, ANTROPOLOGIA;ENSAYO;0.7;21x21;0
FIGURAS DE HILO DE CHILE Y EL MUNDO;;ESP;MARCELA GARRIDO DIAZ;978-956-9337-67-3;15000;MUSICA, ANTROPOLOGÍA;ENSAYO;;16x21;0
GEO ETIMOLOGÍA DE LA ISLA DE PASCUA;;ESP / RAPANUI;CARLOS CHARLIN OJEDA / INT: ALBERTO HOTUS, MARCOS MONCADA;978-956-9337-68-0;15000;HISTORIA, ARQUEOLOGIA, ANTROPOLOGIA;ENSAYO;0.2;16x21;0
HABLEMOS RAPA NUI;;ESP / RAPANUI;CHRISTIAN MADARIAGA / ALLAN FUENTES;978-956-9337-80-2;15000;CURSO IDIOMA;ENSAYO;0.2;16x21;0
GUIA IKA;;ESP;NAITI MORALES / MAIBE HERMOSO;978-956-9337-49-11;30000;ILUSTRACIÓN, NATURALEZA, ANTROPOLOGIA;ENSAYO;1;18x25;0
HISTORIA DE RAPA NUI;;ESP;MARÍA HUKE / CATALINA V. HUKSBUS;978-956-9337-57-4;18000;HISTORIA, ILUSTRACIÓN;ENSAYO;0.5;21x28;0
HISTORIAS Y LEYENDAS DE LA ISLA DE PASCUA;;ESP;FEDERICO FELBERMAYER;978-956-9337-77-2;15000;HISTORIA, ANTROPOLOGIA;ENSAYO;0.3;16x21;0
HISTORIAS PERDIDAS;;ESP;CRISTIÁN MORENO PAKARATI;978-956-9337-86-4;27000;HISTORIA, ANTROPOLOGIA;ENSAYO;0.9;17X24;0
HOTU EL OCEÁNICO;;ESP ;JORGE INOSTROSA;978-956-9337-61-1;12000;HISTORIA, ANTROPOLOGIA;NARRATIVA;0.4;16x21;0
IDIOMA RAPANUI;;ESP / RAPANUI;P. SEBASTIAN ENGLERT;978-956-9337-55-0;15000;HISTORIA, ANTROPOLOGIA, ;ENSAYO;0.4;21x21;0
IKA;;ESP ;ALFREDO CEA;978-956-9337-41-3;52000;ILUSTRACIÓN, NATURALEZA, ANTROPOLOGIA;ILUSTRACIÓN;1.5;35x25;0
ISLA DE PASCUA, DOMINACION O DOMINIO;;ESP;VICTOR M. VERGARA;978-956-9337-32-1;18000;HISTORIA, DERECHO;ENSAYO;0.5;16x21;0
ISLA DE PASCUA, ISLA TIERRA;;ESP;PAUL BAHN Y JOHN FLENLEY;978-956-9337-30-7;18000;HISTORIA, ARQUEOLOGIA, ECOLOGIA;ENSAYO;1;21x21;0
ISLA EN EL FIN DEL MUNDO;;ESP ;STEPHEN ROGER FISHER;978-956-9337-63-5;18000;HISTORIA, ANTROPOLOGIA;ENSAYO;0.7;21x21;0
KAINGA, UNA HISTORIA FAMILIAR;;ESP;MARCOS MONCADA;978-956-9337-26-0;15000;HISTORIA, ANTROPOLOGIA;ENSAYO;0.3;17X17;0
LA HERENCIA MUSICAL DE RAPA NUI;;ESP;RAMÓN CAMPBELL;978-956-9337-54-3;35000;MUSICA, ANTROPOLOGÍA;ENSAYO;1.5;21x21;0
LA ISLA DE PASCUA;;ESP;ALFRED METRAUX / INT: CARLOS PAOA HUKI;978-956-9337-74-1;18000;HISTORIA, ANTROPOLOGIA;ENSAYO;0.5;16x21;0
LA ISLA DE PASCUA / LE ILLE DE PAQUES;;ESP / FRA;PIERRE LOTI;978-956-9337-59-10;18000;HISTORIA, ANTROPOLOGIA;ENSAYO;0.6;21x22;0
LA ISLA DE PASCUA Y SUS MISTERIOS;;ESP;STEPHEN CHAUVET;978-956-9337-03-2;18000;HISTORIA, ARQUEOLOGIA;ENSAYO;1;24X34;0
LA REINA DE RAPA NUI;;ESP;PEDRO PRADO;978-956-9337-50-5;13000;HISTORIA, ANTROPOLOGIA;ENSAYO;0.2;16x21;0
LA ROSA SEPARADA;;ESP;PABLO NERUDA;978-956-351-127-7;15000;POESIA, ILUSTRACIÓN;POESÍA;0.4;17X17;0
LA TIERRA DE HOTU MATU'A (1974);;ESP;PADRE SEBASTIAN ENGLERT;978-956-345-569-4;18000;HISTORIA, LEYENDAS;ENSAYO;0.8;21x21;0
LEGENDS OF EASTER ISLAND EDICIÓN 1;;ING / RAPANUI;PADRE SEBASTIAN ENGLERT;978-956-291-291-4;18000;LEYENDAS;ENSAYO;0.5;16x21;0
LES PETROGLYPHES DE L'ILE DE PAQUES;;FR;LAVACHERY;978-956-9337-09-3;18000;ARTE, ARQUEOLOGÍA,  ANTROPOLOGÍA;ENSAYO;1.3;24X34;0
LEYENDAS DE ISLA DE PASCUA. EDICIÓN 1;;ESP / RAPANUI;PADRE SEBASTIAN ENGLERT (TE POU HUCKE);978-956-345-568-7;18000;LEYENDAS;ENSAYO;0.4;16x21;0
LEYENDAS DE ISLA DE PASCUA. EDICIÓN 2;;ESP / RAPANUI;PADRE SEBASTIAN ENGLERT (NITROX);978-956-9337-40-6;18000;LEYENDAS;ENSAYO;1.5;21x21;0
L'ILE DE PAQUES ET SES MYSTERES;;FR;STEPHEN CHAUVET;978-956-9337-13-0;18000;HISTORIA, ARQUEOLOGIA;ENSAYO;1;24X34;0
LORENZO BAEZA VEGA Y EL KAIKAI;;ESP;MARCELA GARRIDO DIAZ;978-956-9337-66-6;15000;MUSICA, ANTROPOLOGÍA;ENSAYO;0.3;16x21;0
LOS MANUSCRITOS DE UKA;;ESP;UKA TEPANO KAITUOE;978-956-9337-08-6;18000;ARQUEOLOGIA, HISTORIA,  VIVENCIAS;ENSAYO;0.5;21x21;0
LOS MISTERIOS DE LA ISLA DE PASCUA;;ESP;BIENVENIDO DE ESTELLA;978-956-9337-31-4;15000;HISTORIA, ANTROPOLOGIA;ENSAYO;0.4;16x21;0
MANUTARA, EN LA RUTA DE UN PIONERO;;ESP;ROBERTO PARRAGUE;978-956-9337-70-3;18000;NOVELA HISTÓRICA;ENSAYO;0.7;16x21;0
MAIKA EN RAPA NUI;;ESP;ROBERTO ROJAS;978-956-9337-18-5;15000; ANTROPOLOGÍA;ENSAYO;0.3;17X17;0
MIGRANTES RAPANUI: MOVILIDAD Y POLÍTICA;;ESP;ROLF FOERSTER / SONIA MONTECINO  ;978-956-9337-39-0;18000;HISTORIA, ANTROPOLOGIA, ;ENSAYO;0.4;21x21;0
MIS VIAJES A PASCUA;;ESP;BIENVENIDO DE ESTELLA;978-956-9337-51-2;15000;HISTORIA, ANTROPOLOGIA;ENSAYO;0.3;16x21;0
MOAI, NUEVA MIRADA A ROSTROS ANTIGUOS;;ESP;BRITTON SHEPARDSON;978-956-9337-27-7;15000;ARQUEOLOGIA, ANTROPOLOGIA;ENSAYO;0.5;16x21;0
MORE MANAVA;;ESP;ROLF FORSTER / PAKARATI  ;978-956-9337-15-4;18000; HISTORIA, POLÍTICA;ENSAYO;0.9;21x21;0
PALMERAS, PIGMENTOS Y LAGRIMAS LARGAS;;ESP /  RAPANUI;BURKHARD VOGT Y OTROS;978-956-9337-93-2;16000;HISTORIA, ARQUEOLOGIA, ANTROPOLOGIA;ENSAYO;0.3;17X17;0
RAPA NUI , 40 AÑOS LIDIANDO CON SUS MISTERIOS;;ESP;PAVEL PAVEL;978-956-09565-4-6;18000;FOTOGRAFÍA, HISTORIA, ANTROPOLOGIA;ENSAYO;0.55;23X17;0
RAPA NUI & CHAMUDES 1952;;ESP;ROLF FORSTER / SEBASTIÁN LORENZO;978-956-9337-35-3;18000;FOTOGRAFÍA, HISTORIA, ANTROPOLOGIA;ENSAYO;1;21x28;0
RAPA NUI & FELBERMAYER 1946 - 1952;;ESP;BETTY HAOA RAPAHANGO / TANIA BASTERRICA BROCKMAN;978-956-9337-34-5;18000;FOTOGRAFÍA, HISTORIA, ANTROPOLOGIA;ENSAYO;0.9;21x28;0
RAPA NUI & HANS HELFRITZ 1946;;ESP / ING / ELEMÁN;BETTY HAOA RAPAHANGO / TANIA BASTERRICA BROCKMAN;978-956-402-897-2  ;18000;FOTOGRAFÍA, HISTORIA, ANTROPOLOGIA;ENSAYO;1;21x28;0
RAPA NUI & LORENZO DOMINGUEZ 1960-1961;;ESP;FOERSTER / PAKARATI  / VALLE;978-956-9337-36-9;18000;FOTOGRAFÍA, HISTORIA, ANTROPOLOGIA;ENSAYO;1;21x28;0
RAPA NUI IMAGINADA, LA VOZ DE LAS MUJERES;;ESP ;CAMILA LAHAROA / ANDREA ARAVENA;978-956-9337-47-5;18000;HISTORIA, ANTROPOLOGIA;ENSAYO;0.6;21x21;0
RAPA NUI, PRIMERAS EXPEDICIONES EUROPEAS (Tomo 1);;ESP;ROLF FORSTER;978-956-35-1348-6;18000;HISTORIA, ANTROPOLOGIA;ENSAYO;0.7;21x21;0
RAPA NUI, UN CAMINO A LA AUTONOMÍA;;ESP;ALEJANDRA ASTUDILLO STÖWHAS / POKY TNE HAOA ;978-956-9337-28-4;18000;HISTORIA, ANTROPOLOGIA, LEYES;ENSAYO;0.8;21x21;0
RIU. EL CANTO PRIMAL DE RAPA NUI;;ESP;SOFÍA ABARCA;978-956-9337-85-7;18000;MÚSICA, HISTORIA, ANTROPOLOGIA;ENSAYO;0.6;21x21;0
RONGORONGO;;ESP;ALEX GUERRA;978-956-9337-25-3;15000;NOVELA ;NARRATIVA;0;16x21;0
RONGORONGO, INSCRIBED OBJECTS FROM RAPA NUI;;ING;PAUL HORLEY;978-956-9337-76-5;65000; ANTROPOLOGIA, ILUSTRACIÓN;ENSAYO;1.5;29X22;0
TAKONA TATU;;ESP;ANA MARIA ARREDONDO;978-956-9337-58-2;18000;HISTORIA, TATUAJE;ENSAYO;0.7;17x17;0
TAKONA TATU (INGLÉS);;ING;ANA MARIA ARREDONDO;978-956-345-568-7;18000;HISTORIA, TATUAJE;ENSAYO;0.7;17X17;0
TE PITO TE HENUA OR EASTER ISLAND;;ING;WILLIAM J. THOMSON;;15000;HISTORIA, ANTROPOLOGIA;ENSAYO;0.3;16x21;0
TE POKI RAPANUI, EL NIÑO RAPANUI;;ESP / RAPANUI;JOSÉ IGNACIO VIVES SOLAR / JAVIER CORVALÁN;978-956-9337-24-6;10000;HISTORIA, ANTROPOLOGIA;ENSAYO;0.3;16x21;0
THE EASTER ISLAND AND ITS MYSTERIES;;ING;STEPHEN CHAUVET;;18000;HISTORIA, ARQUEOLOGIA;ENSAYO;1;24X34;0
THE LAND OF HOTU MATU'A (1974);;ING;PADRE SEBASTIAN ENGLERT;978-956-345-569-5;18000;HISTORIA, LEYENDAS;ENSAYO;1.8;21x22;0
THE MYSTERY OF EASTER ISLAND;;ING;KATHERINE ROUTLEDGE;978-956-9337-19-2;18000;HISTORIA, ARQUEOLOGIA;ENSAYO;0.8;16x21;0
THE ROCK ART OF RAPA NUI;;ING;GEORGIA LEE / PAUL HORLEY;978-956-9337-33-8;25000;HISTORIA, ANTROPOLOGIA, ;ENSAYO;1;35x25;0
UN PROFESOR PARA RAPA NUI;;ESP;LORENZO BAEZA VEGA ;978-956-9337-60-4;15000;BIOGRAFÍA, HISTORIA, ANTROPOLOGIA;ENSAYO;0.3;16x21;0
VAIKAVA;;ESP;JUAN LUIS FLORES;978-956-9337-48-2;12000;NARRATIVA;ENSAYO;0.3;16x21;0
VARUA RAPA NUI, EL HUNDIMIENTO DE HIVA;;ESP;LABOURDETTE & HERNANDEZ;978-956-351-233-5;8000;NOVELA GRAFICA;NOVELA GRÁFICA;0.3;21x21;0
VARUA RAPA NUI, EL OCASO;;ESP;LABOURDETTE & PINTO;978-956-9337-20-8;8000;NOVELA GRAFICA;NOVELA GRÁFICA;0.3;21x21;0
VARUA RAPA NUI, LUCES Y SOMBRAS;;ESP;LABOURDETTE & HERNANDEZ;978-956-9337-01-7;8000;NOVELA GRAFICA;NOVELA GRÁFICA;0.3;21x21;0
JUAN FERNANDEZ, ISLAS DE NAVEGANTES;;ESP;MAURA BRESCIA DE VAL;978-956-9337-81-9;18000;HISTORIA JUAN FERNANDEZ;ENSAYO;0.5;16x21;0
LA JUSTICIA DE LOS MAURELIO;;ESP;JORGE INOSTROSA;978-956-9337-84-0;16000;HISTORIA JUAN FERNANDEZ;NOVELA GRÁFICA;0.5;16x21;0
JUAN FERNANDEZ, HISTORIA VERDADERA;;ESP;BENJAMIN VICUÑA MACKENNA;978-956-9337-83-3;22000;HISTORIA JUAN FERNANDEZ;ENSAYO;0.8;16x21;0
RECUERDOS DE CHILE, EUGENE MAOUNOURY (1858-1866);;ESP;EUGENE MAOUNOURY / MARCOS MONCADA;978-956-9337;18000;HISTORIA FERROVIARIA;ENSAYO;0.4;21X28;0
